Priority,Company,Company Type,Website,Email,Phone,WhatsApp,Decision Maker,Designation,Product,Buyer Probability,Import Probability,Lead Score,Lead Bucket,Recommended Action,Verification Status,Outreach Status
🟡 Research,"Плитка, камень оптом — купить по цене производителя",MANUFACTURER,https://volmatech.ru/catalog/plitka_kamen/,shop@volma.ru,+7 800 700-04-17,+7,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,50,POTENTIAL,Research to identify a decision maker before initiating outreach,QUALIFIED,Pending Outreach
🟡 Research,Showrooms and dealers in Russia,SHOWROOM,https://www.marazzigroup.com/locality/russia-country/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,Research and obtain contact details for showroom procurement staff before initiating outreach.,QUALIFIED,Pending Outreach
🟡 Research,Best Tiles Manufacturer in Russia,MANUFACTURER,https://www.durezagranito.com/tiles-manufacturer-exporter-in-russia/,info@durezagranito.com,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,50,POTENTIAL,Research further to locate decision‑maker contacts,QUALIFIED,Pending Outreach
🟡 Research,Керамогранит купить в Санкт-Петербурге по выгодной ...,WHOLESALER,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,stroikeramika@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,Contact via the listed email to introduce Wolf Group India's porcelain and ceramic tiles and assess interest in importing.,QUALIFIED,Pending Outreach
🟡 Research,Керамогранит оптом и в розницу по низкой цене с ...,WHOLESALER,http://ceramogranit-optom.ru/?srsltid=afmboorgtblbxduscnx4ylwuuhfjej8vo_vz3szeb8_l7vp2s8avoo9q,sale@ceramogranit-optom.ru,+7 495 540-50-10,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,48,POTENTIAL,Contact the company via sale@ceramogranit-optom.ru to present Wolf Group India's export catalog and request connection with the procurement or import manager.,QUALIFIED,Pending Outreach
🟡 Research,Cerammax,RETAILER,https://www.cerammax.ru/,nahim@planetaplitki.ru,+7 495 644-42-33,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,48,POTENTIAL,Investigate import history and attempt to identify key purchasing managers or decision-makers at Planeta Plitki / Cerammax.,QUALIFIED,Pending Outreach
🟡 Research,Керамогранит.ру (Keramogranit.ru),RETAILER,https://www.keramogranit.ru/,manager@keramogranit.ru,+7 495 966-38-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,48,POTENTIAL,Contact manager@keramogranit.ru to identify the purchasing or import decision-maker and assess interest in importing porcelain tiles from India.,QUALIFIED,Pending Outreach
🟡 Research,Global Tile,MANUFACTURER,https://global-tile.ru/,info@global-tile.ru,+7 495 587-80-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,LOW,48,POTENTIAL,Conduct further research to determine if they outsource manufacturing or import specific lines from overseas before attempting targeted procurement outreach.,QUALIFIED,Pending Outreach
🟡 Research,Керамогранит оптом от производителя купить в Санкт ...,MANUFACTURER,https://www.c-s-g.ru/keramogranit/sankt-peterburg,granite-tile@c-s-g.ru,+7 499 702-70-04,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,UNKNOWN,47,POTENTIAL,LOW_PRIORITY,QUALIFIED,Pending Outreach
🟡 Research,Официальный дилер завода керамической плитки TUBADZIN,DISTRIBUTOR,https://tubadzin.ru/,mail@tubadzin.ru,+7 800 707-98-80,+7 985 765-98-19,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,47,POTENTIAL,"Contact via the provided email or WhatsApp to confirm interest, gather buying requirements, and identify the appropriate decision maker.",QUALIFIED,Pending Outreach
🟡 Research,К-Импорт (K-Import),RETAILER,https://www.k-import.ru/,info@k-import.ru,+7 495 766-19-09,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,45,POTENTIAL,Reach out via the listed email or phone to inquire about their tile sourcing needs and explore a potential supplier relationship.,QUALIFIED,Pending Outreach
🟡 Research,Керамир (Ceramir),UNKNOWN,https://ceramir.ru/,info@ceramir.ru,+7 495 256-06-46,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,45,POTENTIAL,Perform secondary research on the company website to verify import/distribution capabilities and identify direct procurement contacts or decision-makers.,QUALIFIED,Pending Outreach
🟡 Research,эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,DISTRIBUTOR,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,info@interstone.su,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,45,POTENTIAL,Initiate email contact via info@interstone.su to verify interest in sourcing external porcelain/ceramic tile lines and request contacts for procurement decision-makers.,QUALIFIED,Pending Outreach
🟡 Research,"официальный дистрибьютор ГК ""Уральский Гранит""!",DISTRIBUTOR,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,opt@dvresurs.ru,+7 909 875-46-62,+7 909 875-46-62,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,Reach out via the listed email or phone to identify the appropriate purchasing decision maker and assess interest in porcelain/ceramic tiles.,QUALIFIED,Pending Outreach
🟡 Research,Unitile,MANUFACTURER,https://unitile.ru/partners/official_distributors/,info@unitile.ru,+7 863 626-94-56,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,NOT_FOUND,40,POTENTIAL,Verify if Unitile engages in contract manufacturing or imports complementary tile lines from overseas manufacturers.,QUALIFIED,Pending Outreach
🟡 Research,Линкер (Lincer),WHOLESALER,https://lincer.ru/about/,plitka@lincer.ru,+7 812 441-31-88,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,Contact the company via the provided email (plitka@lincer.ru) to discuss tile purchasing needs and evaluate partnership potential.,QUALIFIED,Pending Outreach
🟡 Research,Керамическая плитка оптом в Москве,WHOLESALER,https://elmantrade.ru/kupit-optom/?srsltid=afmbooopbw6qlagiroeisqcfkhadyia5scy09bntxgal9cwuswkixxff,office@elmantrade.ru,+7 495 103-48-48,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,"Conduct further research to locate decision‑maker contacts (e.g., via phone or LinkedIn) and verify recent activity before initiating outreach.",QUALIFIED,Pending Outreach
🟡 Research,Керамическая плитка и керамогранит оптом для дилеров,WHOLESALER,https://artcentre.club/dileram/,office@artcentre.club,+7 028 109-03-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,40,POTENTIAL,"Reach out via the provided email/phone to confirm import interest, gather decision‑maker details, and assess company size before proceeding with a sales pitch.",QUALIFIED,Pending Outreach
🟡 Research,Арткерамика (Artkeramika),WHOLESALER,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,zakaz@artkeramika-opt.ru,+7 499 703-30-42,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,Contact via the listed email or phone to gauge interest and request decision‑maker details; treat as a medium‑priority lead.,QUALIFIED,Pending Outreach
🟡 Research,ТЕССЕР (Tesser),UNKNOWN,https://tesser.ru,info@tesser.ru,+7 495 411-99-77,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,"Initiate outreach via the provided email/phone to gather more details about their role, size, and decision‑maker, then re‑evaluate qualification.",QUALIFIED,Pending Outreach
🟡 Research,Gracia Ceramica,UNKNOWN,https://graciaceramica.com,info@graciaceramica.com,+7 863 626-94-56,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,"Research further to identify decision makers, determine company size and buying intent, and assess import potential before proceeding with outreach.",QUALIFIED,Pending Outreach
🟡 Research,Laparet: керамическая плитка и керамогранит от ...,MANUFACTURER,https://laparet.ru/,info@laparet.ru,+7 800 550-78-99,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,Monitor the prospect for any future buying signals but assign low priority for outreach,QUALIFIED,Pending Outreach
🟡 Research,Cersanit Russia,MANUFACTURER,https://cersanit.ru,report@cersanit.ru,+7 915 060-20-36,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,MONITOR_FOR_POTENTIAL_PARTNERSHIP_OR_INQUIRY,QUALIFIED,Pending Outreach
🟡 Research,MOSCOW,SHOWROOM,https://www.kourasanit.com/en/showrooms/moscow,kourasanitrussia@gmail.com,+7 985 078-84-88,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,Contact the provided email or phone to identify the appropriate buyer and explore tile procurement opportunities.,QUALIFIED,Pending Outreach
🟡 Research,Onetouch Ceramica,UNKNOWN,https://onetouchceramica.ru,onetouchceramica@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,Conduct further research to determine the company’s role (importer/distributor/retailer) and locate decision‑maker contacts before outreach.,QUALIFIED,Pending Outreach
🟡 Research,Kerranova (Samarskiy Stroyfarfor),MANUFACTURER,https://kerranova.ru,info@kerranova.ru,+7 846 233-45-22,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,Monitor for possible partnership opportunities but do not prioritize as a direct buyer.,QUALIFIED,Pending Outreach
⚪ Low,Italon,UNKNOWN,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,NOT_FOUND,+7 381 451-66-06,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,0,LOW,Conduct additional research to verify company details and identify relevant contacts.,QUALIFIED,Pending Outreach
