Company,Company Type,Website,Email,Phone,WhatsApp,Decision Maker,Designation,Product,Buyer Probability,Import Probability,Lead Score,Lead Bucket,Priority,Recommended Action,Verification Status,First Contact Date,Follow-up Date,Response,Notes,Communication Status,Sales Status,Opportunity Status,Lost Reason
Купить керамогранит в Москве и России. Оптом от ...,WHOLESALER,https://technotile.ru/,opt@technotile.ru,+7 499 350-44-50,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,🟡 Research,Reach out via the provided email or phone to discuss potential tile import partnership and gather decision‑maker information.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Контакт-М (Contact-M),WHOLESALER,https://kontact-m.ru/wholesalers/,koroleva@kontact-m.ru,+7 905 779-77-11,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,🟡 Research,Initiate outreach to the provided email or phone number to gauge interest and identify the appropriate decision‑maker for tile procurement.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Creto,UNKNOWN,https://creto.ru,shop@creto.ru,+7 495 085-82-20,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,🟡 Research,Conduct further research to identify decision‑maker contacts and verify import intentions before outreach.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Home,UNKNOWN,http://investceramic.ru/home-en,info@investceramic.ru,+7 800 250-35-90,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,🟡 Research,Reach out via the provided email/phone to gather more details and identify the appropriate decision maker; prioritize further research on company structure and import capabilities.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
"Плитка, камень оптом — купить по цене производителя",MANUFACTURER,https://volmatech.ru/catalog/plitka_kamen/,shop@volma.ru,+7 800 700-04-17,+7,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,50,POTENTIAL,🟡 Research,Research to identify a decision maker before initiating outreach,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит купить в Санкт-Петербурге по выгодной ...,WHOLESALER,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,stroikeramika@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,🟡 Research,Contact via the listed email to introduce Wolf Group India's porcelain and ceramic tiles and assess interest in importing.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамическая плитка и керамогранит оптом – купить в ...,WHOLESALER,https://spb.tesser.ru/content/dlya_optovikov/,spb@tesser.ru,+7 812 407-70-08,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,🟡 Research,Contact via the provided email or phone to qualify the lead and discuss potential tile import purchases.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,WHOLESALER,https://www.ceram-kioto.ru/catalog/keramogranit/,ceram-kioto@mail.ru,+7 495 589-36-85,+7 967 245-45-14,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,🟡 Research,Contact the provided business email or phone to introduce Wolf Group India and request to speak with the purchasing or procurement manager for tile imports.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Интернет-магазин керамогранита и керамической плитки в ...,RETAILER,https://msk.estima.ru/,salon-msk@estima.ru,+7 499 110-60-04,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,🟡 Research,Contact via the provided email or phone to obtain a purchasing manager contact and assess interest in importing tiles.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит.ру (Keramogranit.ru),RETAILER,https://www.keramogranit.ru/,manager@keramogranit.ru,+7 495 966-38-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,48,POTENTIAL,🟡 Research,Contact manager@keramogranit.ru to identify the purchasing or import decision-maker and assess interest in importing porcelain tiles from India.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит оптом и в розницу по низкой цене с ...,WHOLESALER,http://ceramogranit-optom.ru/?srsltid=afmboorgtblbxduscnx4ylwuuhfjej8vo_vz3szeb8_l7vp2s8avoo9q,sale@ceramogranit-optom.ru,+7 495 540-50-10,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,48,POTENTIAL,🟡 Research,Contact the company via sale@ceramogranit-optom.ru to present Wolf Group India's export catalog and request connection with the procurement or import manager.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Global Tile,MANUFACTURER,https://global-tile.ru/,info@global-tile.ru,+7 495 587-80-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,LOW,48,POTENTIAL,🟡 Research,Conduct further research to determine if they outsource manufacturing or import specific lines from overseas before attempting targeted procurement outreach.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Cerammax,RETAILER,https://www.cerammax.ru/,nahim@planetaplitki.ru,+7 495 644-42-33,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,48,POTENTIAL,🟡 Research,Investigate import history and attempt to identify key purchasing managers or decision-makers at Planeta Plitki / Cerammax.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Официальный дилер завода керамической плитки TUBADZIN,DISTRIBUTOR,https://tubadzin.ru/,mail@tubadzin.ru,+7 800 707-98-80,+7 985 765-98-19,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,47,POTENTIAL,🟡 Research,"Contact via the provided email or WhatsApp to confirm interest, gather buying requirements, and identify the appropriate decision maker.",QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит оптом от производителя купить в Санкт ...,MANUFACTURER,https://www.c-s-g.ru/keramogranit/sankt-peterburg,granite-tile@c-s-g.ru,+7 499 702-70-04,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,UNKNOWN,47,POTENTIAL,🟡 Research,LOW_PRIORITY,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
К-Импорт (K-Import),RETAILER,https://www.k-import.ru/,info@k-import.ru,+7 495 766-19-09,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,45,POTENTIAL,🟡 Research,Reach out via the listed email or phone to inquire about their tile sourcing needs and explore a potential supplier relationship.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамир (Ceramir),UNKNOWN,https://ceramir.ru/,info@ceramir.ru,+7 495 256-06-46,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,45,POTENTIAL,🟡 Research,Perform secondary research on the company website to verify import/distribution capabilities and identify direct procurement contacts or decision-makers.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,DISTRIBUTOR,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,info@interstone.su,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,45,POTENTIAL,🟡 Research,Initiate email contact via info@interstone.su to verify interest in sourcing external porcelain/ceramic tile lines and request contacts for procurement decision-makers.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Линкер (Lincer),WHOLESALER,https://lincer.ru/about/,plitka@lincer.ru,+7 812 441-31-88,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,🟡 Research,Contact the company via the provided email (plitka@lincer.ru) to discuss tile purchasing needs and evaluate partnership potential.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Unitile,MANUFACTURER,https://unitile.ru/partners/official_distributors/,info@unitile.ru,+7 863 626-94-56,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,NOT_FOUND,40,POTENTIAL,🟡 Research,Verify if Unitile engages in contract manufacturing or imports complementary tile lines from overseas manufacturers.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамическая плитка и керамогранит оптом для дилеров,WHOLESALER,https://artcentre.club/dileram/,office@artcentre.club,+7 028 109-03-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,40,POTENTIAL,🟡 Research,"Reach out via the provided email/phone to confirm import interest, gather decision‑maker details, and assess company size before proceeding with a sales pitch.",QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
"официальный дистрибьютор ГК ""Уральский Гранит""!",DISTRIBUTOR,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,opt@dvresurs.ru,+7 909 875-46-62,+7 909 875-46-62,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,🟡 Research,Reach out via the listed email or phone to identify the appropriate purchasing decision maker and assess interest in porcelain/ceramic tiles.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамическая плитка оптом в Москве,WHOLESALER,https://elmantrade.ru/kupit-optom/?srsltid=afmbooopbw6qlagiroeisqcfkhadyia5scy09bntxgal9cwuswkixxff,office@elmantrade.ru,+7 495 103-48-48,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,🟡 Research,"Conduct further research to locate decision‑maker contacts (e.g., via phone or LinkedIn) and verify recent activity before initiating outreach.",QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Арткерамика (Artkeramika),WHOLESALER,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,zakaz@artkeramika-opt.ru,+7 499 703-30-42,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,🟡 Research,Contact via the listed email or phone to gauge interest and request decision‑maker details; treat as a medium‑priority lead.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Gracia Ceramica,UNKNOWN,https://graciaceramica.com,info@graciaceramica.com,+7 863 626-94-56,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,🟡 Research,"Research further to identify decision makers, determine company size and buying intent, and assess import potential before proceeding with outreach.",QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
ТЕССЕР (Tesser),UNKNOWN,https://tesser.ru,info@tesser.ru,+7 495 411-99-77,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,🟡 Research,"Initiate outreach via the provided email/phone to gather more details about their role, size, and decision‑maker, then re‑evaluate qualification.",QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Laparet: керамическая плитка и керамогранит от ...,MANUFACTURER,https://laparet.ru/,info@laparet.ru,+7 800 550-78-99,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,🟡 Research,Monitor the prospect for any future buying signals but assign low priority for outreach,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Cersanit Russia,MANUFACTURER,https://cersanit.ru,report@cersanit.ru,+7 915 060-20-36,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,🟡 Research,MONITOR_FOR_POTENTIAL_PARTNERSHIP_OR_INQUIRY,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
MOSCOW,SHOWROOM,https://www.kourasanit.com/en/showrooms/moscow,kourasanitrussia@gmail.com,+7 985 078-84-88,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,40,POTENTIAL,🟡 Research,Contact the provided email or phone to identify the appropriate buyer and explore tile procurement opportunities.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Onetouch Ceramica,UNKNOWN,https://onetouchceramica.ru,onetouchceramica@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,🟡 Research,Conduct further research to determine the company’s role (importer/distributor/retailer) and locate decision‑maker contacts before outreach.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Kerranova (Samarskiy Stroyfarfor),MANUFACTURER,https://kerranova.ru,info@kerranova.ru,+7 846 233-45-22,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,40,POTENTIAL,🟡 Research,Monitor for possible partnership opportunities but do not prioritize as a direct buyer.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Italon,UNKNOWN,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,NOT_FOUND,+7 381 451-66-06,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,UNKNOWN,UNKNOWN,0,LOW,⚪ Low,Conduct additional research to verify company details and identify relevant contacts.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
